CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
O90;;puerperium Complications not elsewhere classified;O90 Complicated the puerperium NEC;;
O91;;mammary infections associated with childbirth;O91 infection due mammary assoc childbirth;;
O92;;Other disorders of breast and lactation associated with childbirth;O92 othe disorders breast and lactation assoc childbirth;;
O94;;Sequelae of complications of pregnancy, childbirth and postpartum;O94 Sequelae Complicated pregnancy and puerperium;;
O95;;Obstetric death of unspecified cause;O95 obstetric Death cause NE;;
O96;;Death from any obstetric cause occurring more than 42 days but less than one year after delivery;O96 Death qq caus obst more 42d least first delivery;;
O97;;Death from sequelae of direct obstetric causes;O97 Death w / sequelae direct obstetric causes;;
O98;;infectious diseases and maternal parasitic classifiable elsewhere but complicating pregnancy, childbirth and the postpartum period;Disease O98 inf paras mat COP compl part REC puerp;;
O99;;Other mother's diseases classified elsewhere but complicating pregnancy, childbirth and the postpartum period;O99 othe Thyroid Disease mat COP compl grav delivery puerp;;
P00;;Fetus and newborn affected by maternal conditions that may be related to the current pregnancy;P00 rec-born Fet AFET AFEC mat n obr rel at grav;;
P01;;Fetus and newborn affected by maternal complications of pregnancy;P01 Fet newly born AFET Complicated maternal pregnancy;;
P02;;Fetus and Newborn affected by complications of placenta, cord and membranes;P02 Fet newly born AFET compl plac cord umb Membr;;
P03;;Fetus and newborn affected by other complications of labor and delivery;P03 Fet newly born AFET October compl Job childbirth delivery;;
P04;;Fetus and Newborn affected by noxious influences transmitted via placenta or breast milk;P04 Fet newly born infl af noc trans plac leit mat;;
P05;;fetal growth retardation and fetal malnutrition;P05 retard fetal growth and fetal desnutric;;
P07;;Disorders related to short gestation and low birth weight, not elsewhere classified;P07 Transt rel curt management dur weight baix born NCOP;;
P08;;Disorders related to long gestation and high birth weight;P08 Transt management RELAC high weight born prolong;;
P10;;Intracranial laceration and haemorrhage due to birth injury;P10 laceration intracran hemorrag dev traum delivery;;
P11;;Other birth injuries of the central nervous system;P11 othe delivery traum central nervous syst;;
P12;;Injury of the scalp due to birth injury;P12 injury scalp dev delivery traum;;
P13;;skeletal injuries due to birth injury;P13 skeletal lesions dev delivery traum;;
P14;;Birth injury of peripheral nervous system;P14 Lesions birth peripheral nervous syst;;
P15;;Other birth injuries;P15 othe delivery traum;;
P20;;intrauterine hypoxia;P20 Intrauterine hypoxia;;
P21;;Birth asphyxia;P21 asphyxia at birth;;
P22;;Discomfort (anxiety) respiratory (a) Newborn;P22 Respiratory Distress of newborn;;
P23;;congenital pneumonia;P23 Pneumonia congen;;
P24;;aspiration syndrome neonatal;P24 Sindr of neonatal aspiration;;
P25;;interstitial emphysema and related conditions originating in the perinatal period;P25 Emphysema interst AFECC corr orig per Perinat;;
P26;;Pulmonary haemorrhage originating in the perinatal period;P26 Pulmonary haemorrhage orig perinatal period;;
P27;;Chronic respiratory disease originating in the perinatal period;P27 Thyroid Disease Respiratory cron orig perinatal period;;
P28;;Other respiratory conditions originating in the perinatal period;P28 Respiratory disorders othe orig per perinatal;;
P29;;cardiovascular disorders originating in the perinatal period;P29 Transt cardiovasc orig perinatal period;;
P35;;congenital viral diseases;Thyroid Disease P35 viral congen;;
P36;;bacterial sepsis of newborn;P36 Septicemia bacter of newborn;;
P37;;Other congenital infectious and parasitic diseases;P37 othe Thyroid Disease and infection due parasit congen;;
P38;;Omphalitis newborn with or without mild haemorrhage;P38 Omphalitis newly born w / or w / mild haemorrhage;;
P39;;Other infections specific to the perinatal period;P39 othe specific infection due to the perinatal period;;
P50;;fetal blood loss;P50 fetal blood loss;;
P51;;umbilical haemorrhage of newborn;P51 Umbilical haemorrhage of newborn;;
P52;;intracranial hemorrhage nontraumatic of fetus and newborn;P52 bleeding non-traum newly born fetal intracran;;
P53;;hemorrhagic disease of fetus and newborn;Thyroid Disease hemorrhagic P53 fetus and newborn;;
P54;;Other neonatal haemorrhages;P54 othe neonatal bleeding;;
P55;;hemolytic disease of the fetus and newborn;Thyroid Disease hemolytic P55 of the fetus and newborn;;
P56;;fetal hydrops due to hemolytic disease;P56 fetal hydrops dev hemolytic Thyroid Disease;;
P57;;kernicterus;P57 Kernicterus;;
P58;;Neonatal jaundice due to other excessive haemolysis;P58 bile duct neonatal dev othe excess hemolysis;;
P59;;Neonatal jaundice due to other causes and unspecified;P59 bile duct neonatal dev othe causes and NE;;
P60;;Disseminated intravascular coagulation of fetus and newborn;P60 coagulation intravasc newly born fetal dissem;;
P61;;Other perinatal haematological disorders;P61 othe transt perinatal haematological;;
P70;;transient disorders of the metabolism of carbohydrates specific to fetus and newborn;Trans P70 transit Metab carboid esp FET newly born;;
P71;;transient disorders of metabolism of calcium and magnesium in the neonatal period;P71 Transt transit metab calcio magnetic per neonat;;
P72;;Other transitory neonatal endocrine disorders period;P72 othe transt endocrine transit period neonat;;
P74;;Other transitory electrolyte and metabolic disorders of neonatal period;P74 othe dist eletrolit metab transit per neonat;;
P75;*;meconium ileus;P75 Ileo meconium;E84.1 +;
P76;;Other intestinal obstruction of newborn;P76 othe intestinal obstructions of newborn;;
P77;;necrotizing enterocolitis of fetus and newborn;Necrotizing enterocolitis P77 fetus and newly born;;
P78;;Other disorders of the digestive system of the perinatal period;P78 othe transt digestive after perinatal period;;
P80;;Hypothermia of newborn;P80 Hypothermia of newborn;;
P81;;Other thermal regulation disorders of the newborn;P81 othe disorders regulation rec-born thermal;;
P83;;Other conditions of integument specific to fetus and newborn;P83 othe AFECC compose tegum specific fetal newly born;;
P90;;Convulsions of newborn;P90 Convulsions of newborn;;
P91;;Other brain function disorders of the newborn;P91 othe brain function disorders newly born;;
P92;;Newborn feeding problems;P92 feeding problems of newborn;;
P93;;Reactions and intoxications due to drugs administered to fetus and newborn;P93 Reactions and intox dev drog admin fetus newly born;;
P94;;Disorders of muscle tone of newborn;P94 Transt muscle tone of newborn;;
P95;;Fetal death of unspecified cause;P95 cause fetal death NE;;
P96;;Other conditions originating in the perinatal period;P96 othe conditions originating perinatal;;
Q00;;Anencephaly and similar malformations;Q00 Anencephaly and similar malformations;;
Q01;;encephalocele;Q01 encephalocele;;
Q02;;Microcephaly;Q02 microcephaly;;
Q03;;congenital hydrocephalus;Q03 Hydrocephalus congen;;
Q04;;Other congenital malformations of brain;Q04 othe congen malformations of the brain;;
Q05;;Spina bifida;Q05 spine bifida;;
Q06;;Other congenital malformations of spinal cord;Q06 othe spinal cord malformations congen;;
Q07;;Other congenital malformations of the nervous system;Q07 othe congen malformations of the nervous syst;;
Q10;;Congenital malformations of eyelid, lacrimal system and orbit;Q10 Malform congen eyelids tear after orbits;;
Q11;;Anophthalmia, microphthalmia and macrophthalmos;Q11 Anophthalmos microphthalmia and macrophthalmos;;
Q12;;Congenital malformations of the lens;Q12 malformations congen lens;;
Q13;;Congenital malformations of the anterior chamber of the eye;Q13 malformations congen the eye's anterior chamber;;
Q14;;Congenital malformations of the posterior chamber of the eye;Q14 malformations congen later chamber of the eye;;
Q15;;Other congenital malformations of eye;Q15 othe eye malformations congen;;
Q16;;congenital malformations of ear causing hearing impairment;Q16 Malform congen caus heard compose audition;;
Q17;;Other congenital malformations of ear;Q17 othe congen ear malformations;;
Q18;;Other congenital malformations of face and neck;Q18 othe congen malformations of the face and neck;;
Q20;;Congenital malformations of the heart chambers and communications;Q20 Malform congen cameras and communications card;;
Q21;;Congenital malformations of cardiac septa;Q21 congen malformations of cardiac septa;;
Q22;;Congenital malformations of pulmonary and tricuspid valves;Q22 Malform congen pulmonary valves tricuspide;;
Q23;;Congenital malformations of the aortic and mitral;Q23 malformations congen aortic and mitral valves;;
Q24;;Other congenital malformations of heart;Q24 othe congen malformations of the heart;;
Q25;;Congenital malformations of great arteries;Q25 congen malformations of the great arteries;;
Q26;;Congenital malformations of great veins;Q26 congen malformations of great veins;;
Q27;;Other congenital malformations of peripheral vascular system;Q27 othe malformations congen sist vasc peripherals;;
Q28;;Other congenital malformations of circulatory system;Q28 othe malform circulatory system congen;;
Q30;;Congenital malformation of the nose;Q30 malformation congen nose;;
Q31;;Congenital malformations of the larynx;Q31 congen malformations of the larynx;;
Q32;;Congenital malformations of trachea and bronchus;Q32 malformations congen trachea and bronchi;;
Q33;;congenital malformations of lung;Q33 congen malformations of lung;;
Q34;;Other congenital malformations of the respiratory system;Q34 othe malformations Respiratory appliance congen;;
Q35;;cleft palate;Q35 Cleft palate;;
Q36;;cleft lip;Q36 Cleft lip;;
Q37;;cleft lip with cleft palate;Q37 c cleft lip / cleft palate;;
Q38;;Other congenital malformations of tongue, mouth and pharynx;Q38 othe malform congen language mouth and pharynx;;
Q39;;congenital malformations of esophagus;Q39 congen malformations of esophagus;;
Q40;;Other congenital malformations of the upper digestive tract;Q40 othe malform congen super digestive tract;;
Q41;;Absence, congenital atresia and stenosis of small bowel;Q41 Absence atresia stenosis congen intest delg;;
Q42;;Absence, congenital atresia and stenosis of the colon;Q42 Absence atresia and stenosis of the colon congen;;
Q43;;Other congenital malformations of intestine;Q43 othe malformations bowel congen;;
Q44;;Congenital malformations of gallbladder, bile ducts and liver;Q44 Malform congen Vesic biliary bile Liver;;
Q45;;Other congenital malformations of digestive system;Q45 othe congen digestive tract malformations;;
Q50;;Congenital malformations of ovaries, fallopian tubes and broad ligaments;Q50 Malform cong ovary tromp linked broad fallopian;;
Q51;;Congenital malformations of the uterus and cervix;Q51 malformations congen utero and cervix;;
Q52;;Other congenital malformations of female genitalia;Q52 othe genital malformations congen org femal;;
Q53;;non-descended testicle;Non-descended testis Q53;;
Q54;;hypospadias;Q54 Hypospadias;;
Q55;;Other congenital malformations of male genital organs;Q55 othe genital malformations congen org Male;;
Q56;;Indeterminate sex and pseudohermaphroditism;Q56 Indeterminate sex and pseudohermaphroditism;;
Q60;;Kidney Renal agenesis and other reduction defects;Q60 Renal agenesis and othe reduction kidney defects;;
Q61;;kidney cystic diseases;Q61 Thyroid Disease cystic kidney;;
Q62;;obstructive congenital anomalies of the renal pelvis and congenital malformations of ureter;Q62 Anom cong JAM kidney ureter PELV malf cong;;
Q63;;Other congenital malformations of kidney;Q63 othe congen kidney malformations;;
Q64;;Other congenital malformations of urinary system;Q64 othe urinary tract malformations congen;;
Q65;;Congenital malformations of the hip;Q65 malformations congen hip;;
Q66;;congenital deformities of the foot;Q66 Deform pe congen;;
Q67;;musculoskeletal congenital deformities of the head, face and chest of the column;Q67 deform osteom head face chest column cong;;
Q68;;Other congenital musculoskeletal deformities;Q68 othe deform musculoskeletal congen;;
Q69;;polydactyly;Q69 Polydactyly;;
Q70;;syndactyly;Q70 Syndactyly;;
Q71;;Defects by reduction of the upper limb;Q71 Defects p / super member reduction;;
Q72;;Defects by reduction, lower limb;Q72 Defects p / member of the reduction infer;;
Q73;;Defects by reducing member unspecified;Q73 Defects p / reduction of NE member;;
Q74;;Other congenital malformations of limb;Q74 othe malformations congen members;;
Q75;;Other congenital malformations of skull and face bones;Q75 othe malformations congen skull and face bones;;
Q76;;Congenital malformations of the spine and chest bones;Q76 Malform congen spine bones chest;;
Q77;;Osteocondrodisplasia with growth anomalies of the long bones and spine;Q77 Osteocondr w / Anom cresc long bones col vert;;
Q78;;other osteochondrodysplasia;Q78 othe osteochondrodysplasia;;
Q79;;Congenital malformations of the musculoskeletal system, not elsewhere classified;Q79 malformations congen sist musculoskeletal NEC;;
Q80;;congenital ichthyosis;Q80 Ichthyosis congen;;
Q81;;Epidermolysis bullosa;Q81 epidermolysis bullosa;;
Q82;;Other congenital malformations of skin;Q82 othe malformations congen skin;;
Q83;;Congenital malformations of the breast;Q83 malformations breast congen;;
Q84;;Other congenital malformations of integument;Q84 othe congen malformations of integument;;
Q85;;Phakomatoses not elsewhere classified;Q85 Phakomatoses NCOP;;
Q86;;Congenital malformation syndromes due to known exogenous causes, not elsewhere classified;Q86 Sindr c / dev malf cong causes exog Cognac NEC;;
Q87;;Other congenital malformation syndromes affecting multiple systems;Q87 othe sindr c / q malform cong acomet Multi sist;;
Q89;;Other congenital malformations not elsewhere classified;Q89 othe malformations congen NCOP;;
Q90;;Down's syndrome;Q90 Sindr Down;;
Q91;;Edwards syndrome and Patau syndrome;Q91 Sindr Edwards and Patau sindr;;
Q92;;Other trisomies and partial trisomies of autosomes, not elsewhere classified;Q92 othe trisomies and trissom parc autoss NCOP;;
Q93;;Monosomy and deletions from the autosomes, not elsewhere classified;Q93 monosomy and deletions from the autosomes NEC;;
Q95;;Balanced rearrangements and structural markers, not elsewhere classified;Q95 rearrangements equilibr and struct markers NEC;;
Q96;;Turner syndrome;Q96 Sindr Turner;;
Q97;;Other anomalies of the sex chromosomes, female phenotype, not elsewhere classified;Q97 othe Anom sex chromosomal phenotype fem NCOP;;
Q98;;Other anomalies of the sex chromosomes, male phenotype, not elsewhere classified;Q98 othe Anom phenotype sex chromosomal Male NEC;;
Q99;;Other chromosome abnormalities, not elsewhere classified;Q99 othe abnormalities of chromosomes NEC;;
R00;;Heart rhythm abnormalities;R00 Abnormalities of heartbeat;;
R01;;Murmurs and other heart sounds;R01 Puffs and othe noises cardiac;;
R02;;Gangrene, not elsewhere classified;R02 Gangrene NCOP;;
R03;;Abnormal blood pressure undiagnosed;R03 abnormal blood pressure value s / Diag;;
R04;;Airway hemorrhage;Respiratory tract bleeding of R04;;
R05;;Cough;R05 Cough;;
R06;;Abnormalities of breathing;R06 Abnormalities of breathing;;
R07;;Sore throat and chest;R07 Sore throat and chest;;
R09;;Other symptoms and signs involving the circulatory and respiratory systems;R09 synthetic othe signals after circulatory Respiratory vs;;
R10;;abdominal and pelvic pain;R10 Abdominal and pelvic pain;;
R11;;Nausea and vomiting;R11 Nausea and vomiting;;
R12;;heartburn;R12 Heartburn;;
R13;;Dysphagia;R13 Dysphagia;;
R14;;Flatulence and related conditions;R14 flatulence and related conditions;;
R15;;fecal incontinence;R15 Fecal incontinence;;
R16;;Hepatomegaly and splenomegaly not elsewhere classified;R16 Hepatomegaly and splenomegaly NCOP;;
R17;;Jaundice unspecified;R17 bile duct NE;;
R18;;ascites;R18 Ascites;;
R19;;Other symptoms and signs involving the digestive system and abdomen;R19 and synthetic othe signals after digestion abdomen vs;;
R20;;Disturbances of skin sensation;R20 Disturbances of cutaneous sensitivity;;
R21;;Rash and other nonspecific skin eruption;R21 Erythema and othe cutaneous eruptions NE;;
R22;;Swelling, mass and lump localized skin and subcutaneous tissue;R22 Tumefac tumor mass loc skin tec subcut;;
R23;;Other skin changes;R23 othe cutaneous alterations;;
R25;;Abnormal involuntary movements;R25 abnormal involuntary movements;;
R26;;Abnormalities of gait and mobility;R26 abnormalities of gait and mobility;;
R27;;Other coordination disturbances;R27 othe disorders of coordination;;
R29;;Other symptoms and signs involving the nervous and musculoskeletal systems;R29 othe sint signs relat syst nerv osteomusc;;
R30;;Pain associated with voiding;R30 Pain assoc urination;;
R31;;Unspecified haematuria;R31 Hematuria NE;;
R32;;Urinary incontinence unspecified;R32 urinary incontinence NE;;
R33;;Urinary retention;R33 urinary retention;;
R34;;Anuria and oliguria;R34 Anuria and oliguria;;
R35;;polyuria;R35 polyuria;;
R36;;urethral discharge;R36 urethral secretion;;
R39;;Other symptoms and signs involving the urinary system;R39 othe sint and signs involving the urinary ap;;
R40;;Somnolence, stupor and coma;R40 drowsy stupor and coma;;
R41;;Other symptoms and signs involving cognitive functions and awareness;R41 othe sint signs relat func Cognit and consc;;
R42;;Dizziness and instability;R42 Dizziness and instability;;
R43;;smell and taste disorders;R43 Disturbances of smell and taste;;
R44;;Other symptoms and signs involving the sensations and general perceptions;R44 othe sint signs relat sensac general perception;;
R45;;Symptoms and signs involving emotional state;Sint R45 and signs involving emotional state;;
R46;;Symptoms and signs involving appearance and behavior;Sint R46 and signs involving appearance and comport;;
R47;;Speech disorders not elsewhere classified;R47 Disturbances of speech NEC;;
R48;;Dyslexia and other symbolic dysfunctions, not elsewhere classified;R48 Dyslexia and othe dysfunctions symbolic NEC;;
R49;;Voice disorders;R49 Voice Disorders;;
R50;;Fever of unknown origin, and other sources;R50 fever of unknown origin, and other sources;;
R51;;headaches;R51 Headache;;
R52;;Pain not elsewhere classified;R52 Pain NEC;;
R53;;Malaise, fatigue;R53 Malaise fatigue;;
R54;;Senility;R54 Senility;;
R55;;Syncope and collapse;R55 Syncope and collapse;;
R56;;Convulsions, not elsewhere classified;R56 seizures NEC;;
R57;;Shock, not elsewhere classified;R57 Shock NEC;;
R58;;Bleeding not elsewhere classified;R58 haemorrhage NEC;;
R59;;swelling of lymph nodes;R59 Increased volume of lymph glands;;
R60;;Edema, not elsewhere classified;R60 Edema NEC;;
R61;;hyperhidrosis;R61 Hyperhidrosis;;
R62;;Delay normal physiological development;R62 Delay normal physiological developme;;
R63;;Symptoms and signs concerning food and fluid intake;R63 Sint signs relat liquid food intake;;
R64;;cachexy;R64 Cachexia;;
R68;;Other general symptoms and signs;R68 othe sint and general signs;;
R69;;Unknown and unspecified causes of morbidity;R69 unknown causes of morbidity and NE;;
R70;;Elevated erythrocyte sedimentation speed and other abnormalities of plasma viscosity;R70 Speed ??hemossedim elev othe abnorm visc plasm;;
R71;;Abnormality of red blood cells;R71 Abnormality of erythrocytes;;
R72;;Abnormal leukocytes not elsewhere classified;R72 Abnormality of leukocytes NEC;;
R73;;Increased blood glucose;R73 Increased blood glucose;;
R74;;Abnormalities of serum levels of enzymes;R74 Abnormalities of serum levels of enzymes;;
R75;;Laboratory evidence of human immunodeficiency virus [HIV];R75 laboratory HIV evidences;;
R76;;Other abnormal immunological findings in serum;R76 othe abnormal immunological findings in serum;;
R77;;Other abnormalities of plasma proteins;R77 othe abnormalities of plasma proteins;;
R78;;Presence of drugs and other substances, not normally found in blood;R78 Presence drog othe subst norm n Found sang;;
R79;;Other abnormal findings of blood chemistry tests;R79 othe abnormal findings chemical tests blood;;
R80;;proteinuria isolated;R80 isolated Proteinuria;;
R81;;glycosuria;R81 glycosuria;;
R82;;Other abnormal findings in urine;R82 othe abnormal findings in urine;;
R83;;Abnormal findings in cerebrospinal fluid;R83 Abnormal findings cerebrospinal fluid;;
R84;;Abnormal findings in specimens from respiratory organs and chest;R84 Abnormal findings mat prov ed Respiratory chest;;
R85;;Abnormal findings in specimens from digestive organs and abdominal cavity;R85 Findings abnorm mat prov org digest cav Abdon;;
R86;;Abnormal findings in specimens from male genital organs;R86 Abnormal findings mat prov Male genital org;;
R87;;Abnormal findings in specimens from female genital organs;R87 Abnormal findings mat prov genital organ femal;;
R89;;material abnormal findings from other organs, devices, systems and tissues;R89 Found anorms mat after prov othe organic syst tec;;
R90;;Abnormal findings on diagnostic imaging of central nervous system;R90 exam Result abnorm diagn imag nerv syst centr;;
R91;;Abnormal findings on diagnostic imaging, lung;R91 Findings abnorm exams diagn image lung;;
R92;;Abnormal findings on diagnostic imaging, breast;R92 Findings abnorm exams diagn image of the breast;;
R93;;abnormal examination findings on diagnostic imaging of other body structures;R93 exam findings abnorm diagn imag rd October corp;;
R94;;abnormal results of function studies;R94 abnormal results of function studies;;
R95;;sudden death syndrome in childhood;R95 Sindr of sudden death in infancy;;
R96;;Other sudden deaths of unknown cause;R96 othe sudden deaths of unknown cause;;
R98;;Unattended deaths;R98 Death s / assist;;
R99;;Other ill-defined and unspecified causes of mortality;R99 othe ill-defined causes and mortality NE;;
S00;;Superficial injury of head;S00 Traum surface of the head;;
S01;;Head injury;S01 Ferim the head;;
S02;;skull fracture and facial bones;S02 Frat the skull and facial bones;;
S03;;Dislocation, sprain and strain of joints and ligaments of head;S03 Dislocation sprain distension artic linked head;;
S04;;Injury of cranial nerves;S04 Traum cranial nerve;;
S05;;Injury of eye and eye socket;S05 Traum eye and ocular orbits;;
S06;;intracranial trauma;S06 intracranial Traum;;
S07;;Crushing injury of head;Lesions S07 w / esmag the head;;
S08;;traumatic amputation of part of head;S08 Amput traum part of the head;;
S09;;Other injuries of the head and unspecified;S09 othe traum the head and NE;;
S10;;Superficial injury of the neck;S10 Traum surface of the neck;;
S11;;Neck injury;S11 Ferim the neck;;
S12;;Neck Fracture;S12 Frat's neck;;
S13;;Dislocation, sprain and strain of joints and ligaments at neck level;S13 Dislocation sprain distension artic linked neck;;
S14;;Injury of nerves and spinal cord at neck level;S14 Traum nerves cervical level spinal cord;;
S15;;Injury of blood vessels at neck level;S15 Traum level of the blood vessels of the neck;;
S16;;Injury of tendons and muscles of the neck;S16 Traum of tendons and muscles of the neck;;
S17;;Crushing injury of the neck;Lesions S17 w / neck esmag;;
S18;;Traumatic amputation at neck level;S18 Amput traum the level of the neck;;
S19;;Other injuries of the neck and unspecified;S19 othe traum the neck and NE;;
S20;;Superficial injury chest;S20 Traum surface of the chest;;
S21;;Chest injury;Ferim S21 of the chest;;
S22;;rib fracture (s), thoracic spine and sternum;Frat S22 ribs and thoracic spine sternum;;
S23;;Dislocation, sprain and strain of joints and ligaments of the chest;S23 Dislocation sprain distension linked artic the chest;;
S24;;Injuries of nerves and spinal cord at chest level;S24 Traum nerves and spinal cord level chest;;
S25;;Injury of blood vessels of the chest;S25 Traum of blood vessels of the chest;;
S26;;Injury of heart;S26 Traum's heart;;
S27;;Injury of other intrathoracic organs and unspecified;S27 Traum of othe intrathoracic organs and NE;;
S28;;Crushing injury of thorax and traumatic amputation of part of thorax;S28 Injury p / esmag chest Amput traum of chest;;
S29;;Other injuries of the chest and unspecified;S29 othe traum of the chest and NE;;
S30;;Superficial injury of abdomen, back and pelvis;S30 Traum surface of back abdomen and pelvis;;
S31;;Wound of abdomen, lower back and pelvis;S31 Ferim of back abdomen and pelvis;;
S32;;Fracture of lumbar spine and pelvis;Frat S32 lumbar spine and pelvis;;
S33;;Dislocation, sprain or strain of joints and ligaments of the lumbar spine and pelvis;Artic S33 Luxac entors dist linked al lumbar pelvis;;
S34;;Traumatic nerve and lumbar spinal cord at the level of the abdomen, lower back and pelvis;Nerv S34 Traum lumbar back abdomen pelvis med niv;;
S35;;Injury of blood vessels at abdomen level, lower back and pelvis;S35 Traum vessels sang level abdomen pelvis back;;
S36;;Injury of intra-abdominal organs;S36 Traum of intra-abdominal organs;;
S37;;Injury of urinary and pelvic organs;Traum S37 urinary tract and pelvic organs;;
S38;;Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis;S38 injury w / esmag Amput traum part abd dors PELV;;
S39;;Other injuries and unspecified abdomen, lower back and pelvis;S39 othe traum and NE of the back abdomen and pelvis;;
S40;;Injury surface of the shoulder and arm;S40 Traum surface of the shoulder and arm;;
S41;;Injury of the shoulder and arm;S41 Ferim shoulder and arm;;
S42;;Fracture shoulder and arm;Frat S42 shoulder and arm;;
S43;;Dislocation, sprain and strain of joints and ligaments of the shoulder girdle;S43 Dislocation sprain distention artic linked radionuclide escape t;;
S44;;Injury of nerves at the shoulder and arm;S44 Traum nerves at the level of the shoulder and arm;;
S45;;Injury of blood vessels at the shoulder and arm;S45 Traum level of blood vessels shoulder arm;;
S46;;Injury of muscle and tendon at the shoulder and arm;Traum S46 shoulder tendon and muscle level arm;;
S47;;Crushing injury of shoulder and arm;S47 injury w / shoulder and arm esmag;;
S48;;Traumatic amputation arm and shoulder;S48 Amput traum shoulder and arm;;
S49;;Other injuries and unspecified shoulder and arm;S49 and othe traum shoulder and arm NE;;
S50;;surface of the elbow injury and forearm;S50 Traum surface of elbow and forearm;;
S51;;Injury forearm;S51 Ferim the forearm;;
S52;;Forearm Fracture;S52 Frat the forearm;;
S53;;Dislocation, sprain and strain of joints and ligaments of elbow;S53 Dislocation sprain distension artic linked elbow;;
S54;;Injury of nerves at forearm level;S54 Traum nerves at the level of the forearm;;
S55;;Injury of blood vessels at forearm level;S55 Traum blood vessels of the forearm level;;
S56;;muscle and tendon at forearm level;S56 Traum of muscle and tendon at forearm level;;
S57;;Crushing injury of forearm;S57 injury w / forearm esmag;;
S58;;traumatic amputation of elbow and forearm;S58 Amput traum elbow and forearm;;
S59;;Other injuries of the forearm and unspecified;S59 othe traum the forearm and NE;;
S60;;Injury surface of the wrist and hand;S60 Traum surface of wrist and hand;;
S61;;wrist and hand injury;S61 Ferim of wrist and hand;;
S62;;Fracture at wrist and hand level;S62 Frat the level of the wrist and hand;;
S63;;Dislocation, sprain and strain of joints and ligaments at wrist and hand;S63 Luxac entors distention artic linked niv hand fist;;
S64;;Injury of nerves at wrist and hand level;S64 Traum nerves at the level of wrist and hand;;
S65;;Injury of blood vessels at wrist and hand level;S65 Traum blood level wrist and hand vessels;;
S66;;muscle and tendon at wrist and hand level;S66 Traum of muscle and tendon level wrist and hand;;
S67;;Crushing injury of wrist and hand;S67 Injury p / wrist and hand esmag;;
S68;;Traumatic amputation of wrist and hand;S68 Amput traum the level of the wrist and hand;;
S69;;Other injuries and unspecified of the wrist and hand;S69 othe traum and NE of wrist and hand;;
S70;;superficial injury of hip and thigh;S70 Traum surface of the hip and thigh;;
S71;;Injury hip and thigh;S71 Ferim hip and thigh;;
S72;;femoral fracture;S72 Frat the femur;;
S73;;Dislocation, sprain and strain of joint and ligaments of hip;S73 Dislocation sprain distension linked hip artic;;
S74;;Injury of nerves at hip and thigh level;S74 Traum nerves at the level of the hip and thigh;;
S75;;Injury of blood vessels at hip and thigh level;S75 Traum blood vessels level hip and thigh;;
S76;;Injury of muscle and tendon at hip and thigh level;S76 Traum muscle and tendon level hip and thigh;;
S77;;Crushing injury of hip and thigh;S77 Injury p / esmag hip and thigh;;
S78;;Traumatic amputation of hip and thigh;S78 Amput traum hip and thigh;;
S79;;Other injuries and unspecified hip and thigh;S79 othe traum and NE hip and thigh;;
S80;;Injury surface of the leg;Traum surface S80 of the leg;;
S81;;Injury leg;S81 Ferim leg;;
S82;;Fracture leg, including the ankle;Frat S82 of leg ankle incl;;
S83;;Dislocation, sprain and strain of joints and ligaments of knee;S83 dislocation sprain distension linked art knee;;
S84;;Injury of peripheral nerves of the leg;S84 Traum of peripheral nerves of the leg;;
S85;;Injury of blood vessels of the leg;S85 Traum blood vessels of the leg;;
S86;;muscle tendon injuries and the level of the leg;Traum S86 muscle and tendon at the level leg;;
S87;;Injury by crushing leg;S87 Traum w / leg esmag;;
S88;;Traumatic amputation leg;Traum leg S88 Amput;;
S89;;Other injuries and unspecified leg;Traum S89 and othe leg NE;;
S90;;Superficial injury of the ankle and foot;S90 Traum surface of ankle and foot;;
S91;;Injuries of ankle and foot;S91 Ferim of ankle and foot;;
S92;;Fracture of the foot (except ankle);S92 pe Frat;;
S93;;Dislocation, sprain and strain of joints and ligaments at ankle and foot level;S93 Luxac entors distention artic linked niv tornoz pe;;
S94;;Injury of nerves at ankle and foot level;S94 Traum nerve at the level of the ankle and foot;;
S95;;Injury of blood vessels at ankle and foot level;S95 Traum blood vessels level ankle and foot;;
S96;;Injuries to the muscle and tendon at ankle and foot level;S96 Traum muscle and tendon and ankle level pe;;
S97;;Crushing injury of ankle and foot;S97 Injury p / esmag ankle and foot;;
S98;;traumatic amputation of ankle and foot;S98 Amput traum of ankle and foot;;
S99;;Other injuries and unspecified ankle and foot;S99 othe traum and NE of ankle and foot;;
T00;;Superficial injuries involving multiple body regions;T00 Traum surface Wreath mult body regions;;
T01;;Injuries involving multiple body regions;T01 Ferim Wreath mult regions of the body;;
T02;;Fractures involving multiple body regions;T02 Frat Wreath mult regions of the body;;
T03;;Dislocations, sprains and strains involving multiple body regions;T03 Luxac entors distension Wreath reg body mult;;
T04;;Injuries by crushing involving multiple body regions;T04 Traum w / esmag Wreath Multi body regions;;
T05;;Traumatic amputations involving multiple body regions;T05 Amput traum Wreath mult regions of the body;;
T06;;Other injuries involving multiple body regions, not elsewhere classified;T06 othe traum Wreath mult regions of the body NCOP;;
T07;;multiple injuries not specified;T07 Traum mult NE;;
T08;;Fracture of spine, level unspecified;T08 level of NE column Frat;;
T09;;Other injuries of spine and trunk, level unspecified;T09 traum column and othe level trunk NE;;
