SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
T060;;;;Traumatismos de cérebro e nervos cranianos com traumatismos de nervos e da medula espinhal ao nível do pescoço;T06.0 Traum cer nerv cran nerv med espinh niv pesc
T061;;;;Traumatismos de nervos e da medula espinhal envolvendo outras regiões múltiplas do corpo;T06.1 Traum nerv med espinh env outr reg mult corp
T062;;;;Traumatismos de nervos envolvendo regiões múltiplas do corpo;T06.2 Traum de nervos envolv regioes mult do corpo
T063;;;;Traumatismos de vasos sangüíneos envolvendo regiões múltiplas do corpo;T06.3 Traum vasos sang envolv regioes mult corpo
T064;;;;Traumatismos de músculos e de tendões envolvendo regiões múltiplas do corpo;T06.4 Traum musculos tendoes envolv reg mult corpo
T065;;;;Traumatismos de órgãos intratorácicos com órgãos intra-abdominais e pélvicos;T06.5 Traum org intratorac c/intra-abdom pelvicos
T068;;;;Outros traumatismos especificados envolvendo regiões múltiplas do corpo;T06.8 Outr traum espec envolv regioes mult corpo
T07;;;;Traumatismos múltiplos não especificados;T07   Traum mult NE
T08;;;;Fratura da coluna, nível não especificado;T08   Frat da coluna nivel NE
T090;;;N;Traumatismo superficial do tronco, nível não especificado;T09.0 Traum superf do tronco nivel NE
T091;;;;Ferimento do tronco, nível não especificado;T09.1 Ferim do tronco nivel NE
T092;;;;Luxação, entorse e distensão de articulações e ligamentos não especificados do tronco;T09.2 Luxacao entorse distens artic lig NE tronco
T093;;;;Traumatismo de medula espinhal, nível não especificado;T09.3 Traum de medula espinhal nivel NE
T094;;;;Traumatismo de nervos, de raízes de nervos espinhais e de plexos não especificados do tronco;T09.4 Traum nerv raiz nerv espinh plexos NE tronco
T095;;;;Traumatismo de músculo e tendão não especificados do tronco;T09.5 Traum de musculo e tendao NE do tronco
T096;;;;Amputação traumática do tronco, nível não especificado;T09.6 Amput traum do tronco nivel NE
T098;;;;Outros traumatismos especificados do tronco, nível não especificado;T09.8 Outr traum espec do tronco nivel NE
T099;;;;Traumatismo não especificado do tronco, nível não especificado;T09.9 Traum NE do tronco nivel NE
T10;;;;Fratura do membro superior, nível não especificado;T10   Frat do membro super nivel NE
T110;;;N;Traumatismo superficial do membro superior, nível não especificado;T11.0 Traum superf do membro super nivel NE
T111;;;;Ferimento do membro superior, nível não especificado;T11.1 Ferim do membro super nivel NE
T112;;;;Luxação, entorse e distensão de articulação e ligamento não especificados do membro superior, nível não especificado;T11.2 Lux entor dist artic lig NE membr sup niv NE
T113;;;;Traumatismo de nervo não especificado do membro superior, nível não especificado;T11.3 Traum de nervo NE do membro super nivel NE
T114;;;;Traumatismo de vaso sangüíneo não especificado, do membro superior, nível não especificado;T11.4 Traum vaso sanguineo NE membro sup nivel NE
T115;;;;Traumatismo de músculo e tendão não especificado do membro superior, nível não especificado;T11.5 Traum musculo e tendao NE membr sup nivel NE
T116;;;;Amputação traumática do membro superior, nível não especificado;T11.6 Amput traum do membro super nivel NE
T118;;;;Outros traumatismos especificados do membro superior nível não especificado;T11.8 Outr traum espec do membro super nivel NE
T119;;;;Traumatismo não especificado do membro superior nível não especificado;T11.9 Traum NE do membro super nivel NE
T12;;;;Fratura do membro inferior, nível não especificado;T12   Frat do membro infer nivel NE
T130;;;N;Traumatismo superficial de membro inferior, nível não especificado;T13.0 Traum superf de membro infer nivel NE
T131;;;;Ferimento de membro inferior, nível não especificado;T13.1 Ferim de membro infer nivel NE
T132;;;;Luxação, entorse e distensão de articulação e ligamento não especificados de membro inferior, nível não especificado;T13.2 Lux entor dist artic lig NE membr inf niv NE
T133;;;;Traumatismo de nervo não especificado de membro inferior, nível não especificado;T13.3 Traum de nervo NE de membro infer nivel NE
T134;;;;Traumatismo de vaso sangüíneo não especificado de membro inferior, nível não especificado;T13.4 Traum vaso sang NE membro infer nivel NE
T135;;;;Traumatismo de músculo e tendão não especificado de membro inferior, nível não especificado;T13.5 Traum musculo tendao NE membro inf nivel NE
T136;;;;Amputação traumática de membro inferior, nível não especificado;T13.6 Amput traum de membro infer nivel NE
T138;;;;Outros traumatismos especificados de membro inferior, nível não especificado;T13.8 Outr traum espec de membro infer nivel NE
T139;;;;Traumatismo não especificado do membro inferior, nível não especificado;T13.9 Traum NE do membro infer nivel NE
T140;;;N;Traumatismo superficial de região não especificada do corpo;T14.0 Traum superf de regiao NE do corpo
T141;;;;Ferimento de região não especificada do corpo;T14.1 Ferim de regiao NE do corpo
T142;;;;Fratura de região não especificada do corpo;T14.2 Frat de regiao NE do corpo
T143;;;;Luxação, entorse e distensão de região não especificada do corpo;T14.3 Luxacao entorse e distensao regiao NE corpo
T144;;;;Traumatismo de nervo(s) de região não especificada do corpo;T14.4 Traum de nervos de regiao NE do corpo
T145;;;;Traumatismo de vaso(s) sangüíneo(s) de região não especificada do corpo;T14.5 Traum de vasos sanguineos de regiao NE corpo
T146;;;;Traumatismo de músculos e tendões de região não especificada do corpo;T14.6 Traum de musculos e tendoes regiao NE corpo
T147;;;;Traumatismo por esmagamento e amputação traumática de regiões não especificadas do corpo;T14.7 Traum p/esmag e amput traum regioes NE corpo
T148;;;;Outros traumatismos de região não especificada do corpo;T14.8 Outr traum de regiao NE do corpo
T149;;;;Traumatismo não especificado;T14.9 Traum NE
T150;;;;Corpo estranho na córnea;T15.0 Corpo estranho na cornea
T151;;;;Corpo estranho no saco conjuntival;T15.1 Corpo estranho no saco conjuntival
T158;;;;Corpo estranho em outros locais e em locais múltiplos da parte externa do olho;T15.8 Corpo estranh outr loc mult part ext olho
T159;;;;Corpo estranho em parte não especificada da região externa do olho;T15.9 Corpo estranho parte NE regiao externa olho
T16;;;;Corpo estranho no ouvido;T16   Corpo estranho no ouvido
T170;;;;Corpo estranho no seio nasal;T17.0 Corpo estranho no seio nasal
T171;;;;Corpo estranho na narina;T17.1 Corpo estranho na narina
T172;;;;Corpo estranho na faringe;T17.2 Corpo estranho na faringe
T173;;;;Corpo estranho na laringe;T17.3 Corpo estranho na laringe
T174;;;;Corpo estranho na traquéia;T17.4 Corpo estranho na traqueia
T175;;;;Corpo estranho no brônquio;T17.5 Corpo estranho no bronquio
T178;;;;Corpo estranho em outras partes e partes múltiplas do trato respiratório;T17.8 Corpo estranho outr partes mult trato resp
T179;;;;Corpo estranho no trato respiratório, parte não especificada;T17.9 Corpo estranho no trato respirat parte NE
T180;;;;Corpo estranho na boca;T18.0 Corpo estranho na boca
T181;;;;Corpo estranho no esôfago;T18.1 Corpo estranho no esofago
T182;;;;Corpo estranho no estômago;T18.2 Corpo estranho no estomago
T183;;;;Corpo estranho no intestino delgado;T18.3 Corpo estranho no intestino delgado
T184;;;;Corpo estranho no cólon;T18.4 Corpo estranho no colon
T185;;;;Corpo estranho no ânus e reto;T18.5 Corpo estranho no anus e reto
T188;;;;Corpo estranho em outras partes e partes múltiplas do aparelho digestivo;T18.8 Corpo estranho outr partes mult ap digestivo
T189;;;;Corpo estranho em parte não especificada do aparelho digestivo;T18.9 Corpo estranho em parte NE ap digestivo
T190;;;;Corpo estranho na uretra;T19.0 Corpo estranho na uretra
T191;;;;Corpo estranho na bexiga;T19.1 Corpo estranho na bexiga
T192;;F;;Corpo estranho na vulva e vagina;T19.2 Corpo estranho na vulva e vagina
T193;;F;;Corpo estranho no útero [qualquer parte];T19.3 Corpo estranho no utero
T198;;;;Corpo estranho em outras partes e partes múltiplas do trato geniturinário;T19.8 Corpo estranho out part mult trat geniturin
T199;;;;Corpo estranho no trato geniturinário, parte não especificada;T19.9 Corpo estranho trato geniturinario parte NE
T200;;;;Queimadura da cabeça e do pescoço, grau não especificado;T20.0 Queim da cabeca e do pescoco grau NE
T201;;;N;Queimadura de primeiro grau da cabeça e do pescoço;T20.1 Queim de 1.grau da cabeca e pescoco
T202;;;;Queimadura de segundo grau da cabeça e do pescoço;T20.2 Queim de 2.grau da cabeca e do pescoco
T203;;;;Queimadura de terceiro grau da cabeça e do pescoço;T20.3 Queim de 3.grau da cabeca e pescoco
T204;;;;Corrosão da cabeça e do pescoço, grau não especificado;T20.4 Corrosao da cabeca e do pescoco grau NE
T205;;;;Corrosão de primeiro grau da cabeça e do pescoço;T20.5 Corrosao de 1.grau cabeca e pescoco
T206;;;;Corrosão de segundo grau da cabeça e do pescoço;T20.6 Corrosao de 2.grau cabeca e pescoco
T207;;;;Corrosão de terceiro grau da cabeça e do pescoço;T20.7 Corrosao de 3.grau cabeca e pescoco
T210;;;;Queimadura do tronco, grau não especificado;T21.0 Queim do tronco grau NE
T211;;;N;Queimadura de primeiro grau do tronco;T21.1 Queim de 1.grau do tronco
T212;;;;Queimadura de segundo grau do tronco;T21.2 Queim de 2.grau do tronco
T213;;;;Queimadura de terceiro grau do tronco;T21.3 Queim de 3.grau do tronco
T214;;;;Corrosão do tronco, grau não especificado;T21.4 Corrosao do tronco grau NE
T215;;;;Corrosão de primeiro grau do tronco;T21.5 Corrosao de 1.grau do tronco
T216;;;;Corrosão de segundo grau do tronco;T21.6 Corrosao de 2.grau do tronco
T217;;;;Corrosão de terceiro grau do tronco;T21.7 Corrosao de 3.grau do tronco
T220;;;;Queimadura do ombro e do membro superior, exceto punho e mão, grau não especificado;T22.0 Queim ombro membr sup exc punho mao grau NE
T221;;;N;Queimadura de primeiro grau do ombro e do membro superior, exceto punho e mão;T22.1 Queim 1.grau ombro membr sup exc punho e mao
T222;;;;Queimadura de segundo grau do ombro e do membro superior, exceto punho e mão;T22.2 Queim 2.grau ombro membr sup exc punho e mao
T223;;;;Queimadura de terceiro grau do ombro e do membro superior, exceto punho e mão;T22.3 Queim 3.grau ombro membr sup exc punho e mao
T224;;;;Corrosão do ombro e do membro superior, exceto punho e mão, grau não especificado;T22.4 Corros ombro membr sup exc punho mao grau NE
T225;;;;Corrosão de primeiro grau do ombro e do membro superior, exceto punho e mão;T22.5 Corrosao 1.grau ombr membr sup exc punho mao
T226;;;;Corrosão de segundo grau do ombro e do membro superior, exceto punho e mão;T22.6 Corrosao 2.grau ombr membr sup exc punho mao
T227;;;;Corrosão de terceiro grau do ombro e do membro superior, exceto punho e mão;T22.7 Corrosao 3.grau ombr membr sup exc punho mao
T230;;;;Queimadura do punho e da mão, grau não especificado;T23.0 Queim do punho e da mao grau NE
T231;;;N;Queimadura de primeiro grau do punho e da mão;T23.1 Queim de 1.grau do punho e da mao
T232;;;;Queimadura de segundo grau do punho e da mão;T23.2 Queim de 2.grau do punho e da mao
T233;;;;Queimadura de terceiro grau do punho e da mão;T23.3 Queim de 3.grau do punho e da mao
T234;;;;Corrosão do punho e da mão, grau não especificado;T23.4 Corrosao do punho e da mao grau NE
T235;;;;Corrosão de primeiro grau do punho e da mão;T23.5 Corrosao de 1.grau do punho e da mao
T236;;;;Corrosão de segundo grau do punho e da mão;T23.6 Corrosao de 2.grau do punho e da mao
T237;;;;Corrosão de terceiro grau do punho e da mão;T23.7 Corrosao de 3.grau do punho e da mao
T240;;;;Queimadura do quadril e membro inferior, exceto tornozelo e do pé, grau não especificado;T24.0 Queim quadr membr inf exc tornoz pe grau NE
T241;;;N;Queimadura de primeiro grau do quadril e do membro inferior, exceto tornozelo e do pé;T24.1 Queim 1.grau quadr membr inf exc tornoz pe
T242;;;;Queimadura de segundo grau do quadril e do membro inferior, exceto tornozelo e do pé;T24.2 Queim 2.grau quadr membr inf exc tornoz pe
T243;;;;Queimadura de terceiro grau do quadril e do membro inferior, exceto tornozelo e do pé;T24.3 Queim 3.grau quadr membr inf exc tornoz pe
T244;;;;Corrosão do quadril e do membro inferior, exceto tornozelo e do pé, grau não especificado;T24.4 Corros quadr membr inf exc tornoz pe grau NE
T245;;;;Corrosão de primeiro grau do quadril e do membro inferior, exceto tornozelo e do pé;T24.5 Corros 1.grau quadr membr inf exc tornoz pe
T246;;;;Corrosão de segundo grau do quadril e do membro inferior, exceto tornozelo e do pé;T24.6 Corros 2.grau quadr membr inf exc tornoz pe
T247;;;;Corrosão de terceiro grau do quadril e do membro inferior, exceto tornozelo e do pé;T24.7 Corros 3.grau quadr membr inf exc tornoz pe
T250;;;;Queimadura do tornozelo e do pé, grau não especificado;T25.0 Queim do tornozelo e do pe grau NE
T251;;;N;Queimadura de primeiro grau do tornozelo e do pé;T25.1 Queim de 1.grau do tornozelo e do pe
T252;;;;Queimadura de segundo grau do tornozelo e do pé;T25.2 Queim de 2.grau do tornozelo e do pe
T253;;;;Queimadura de terceiro grau do tornozelo e do pé;T25.3 Queim de 3.grau do tornozelo e do pe
T254;;;;Corrosão do tornozelo e do pé, grau não especificado;T25.4 Corrosao do tornozelo e do pe grau NE
T255;;;;Corrosão de primeiro grau do tornozelo e do pé;T25.5 Corrosao de 1.grau do tornozelo e do pe
T256;;;;Corrosão de segundo grau do tornozelo e do pé;T25.6 Corrosao de 2.grau do tornozelo e do pe
T257;;;;Corrosão de terceiro grau do tornozelo e do pé;T25.7 Corrosao de 3.grau do tornozelo e do pe
T260;;;;Queimadura da pálpebra e da região periocular;T26.0 Queim da palpebra e da regiao periocular
T261;;;;Queimadura da córnea e do saco conjuntival;T26.1 Queim da cornea e do saco conjuntival
T262;;;;Queimadura com resultante ruptura e destruição do globo ocular;T26.2 Queim c/result rupt e destruic globo ocular
T263;;;;Queimadura de outras partes do olho e anexos;T26.3 Queim de outr partes do olho e anexos
T264;;;;Queimadura do olho e anexos, parte não especificada;T26.4 Queim do olho e anexos parte NE
T265;;;;Corrosão da pálpebra e da região periocular;T26.5 Corrosao da palpebra e da regiao periocular
T266;;;;Corrosão da córnea e do saco conjuntival;T26.6 Corrosao da cornea e do saco conjuntival
T267;;;;Corrosão com resultante ruptura e destruição do globo ocular;T26.7 Corrosao c/result rupt destruic globo ocular
T268;;;;Corrosão de outras partes do olho e anexos;T26.8 Corrosao de outr partes do olho e anexos
T269;;;;Corrosão do olho e anexos, parte não especificada;T26.9 Corrosao do olho e anexos parte NE
T270;;;;Queimadura da laringe e traquéia;T27.0 Queim da laringe e traqueia
T271;;;;Queimadura da laringe, traquéia com pulmão;T27.1 Queim da laringe traqueia c/pulmao
T272;;;;Queimadura de outras partes do trato respiratório;T27.2 Queim de outr partes do trato respirat
T273;;;;Queimadura do trato respiratório, parte não especificada;T27.3 Queim do trato respirat parte NE
T274;;;;Corrosão da laringe e traquéia;T27.4 Corrosao da laringe e traqueia
T275;;;;Corrosão da laringe, traquéia com corrosão de pulmão;T27.5 Corrosao laringe traqueia c/corrosao pulmao
T276;;;;Corrosão de outras partes do trato respiratório;T27.6 Corrosao de outr partes do trato respirat
T277;;;;Corrosão do trato respiratório, parte não especificada;T27.7 Corrosao do trato respirat parte NE
T280;;;;Queimadura da boca e da faringe;T28.0 Queim da boca e da faringe
T281;;;;Queimadura do esôfago;T28.1 Queim do esofago
T282;;;;Queimadura de outras partes do trato alimentar;T28.2 Queim de outr partes do trato alimentar
T283;;;;Queimadura dos órgãos geniturinários internos;T28.3 Queim dos orgaos geniturinarios internos
T284;;;;Queimadura de outros órgãos internos e dos não especificados;T28.4 Queim de outr orgaos internos e dos NE
T285;;;;Corrosão da boca e faringe;T28.5 Corrosao da boca e faringe
T286;;;;Corrosão do esôfago;T28.6 Corrosao do esofago
T287;;;;Corrosão de outras partes do trato alimentar;T28.7 Corrosao de outr partes do trato alimentar
T288;;;;Corrosão de órgãos geniturinários internos;T28.8 Corrosao de orgaos geniturinarios internos
T289;;;;Corrosão de outros órgãos internos e dos não especificados;T28.9 Corrosao de outr orgaos internos e dos NE
T290;;;;Queimaduras múltiplas, grau não especificado;T29.0 Queim mult grau NE
T291;;;;Queimaduras múltiplas, sem mencionar queimadura(s) ultrapassando o primeiro grau;T29.1 Queim mult s/menc queim ultrapass 1.grau
T292;;;;Queimaduras múltiplas, sem mencionar queimadura(s) ultrapassando o segundo grau;T29.2 Queim mult s/menc queim ultrapass 2.grau
T293;;;;Queimaduras múltiplas, mencionando ao menos uma queimadura de terceiro grau;T29.3 Queim mult menc ao menos uma queim de 3.grau
T294;;;;Corrosões múltiplas, grau não especificado;T29.4 Corrosoes mult grau NE
T295;;;;Corrosões múltiplas, sem mencionar corrosão(ões) ultrapassando o primeiro grau;T29.5 Corrosoes mult s/menc corros ultrapas 1.grau
T296;;;;Corrosões múltiplas, sem mencionar corrosão(ões) ultrapassando o segundo grau;T29.6 Corrosoes mult s/menc corros ultrapas 2.grau
T297;;;;Corrosões múltiplas, mencionado ao menos uma corrosão de terceiro grau;T29.7 Corrosoes mult menc ao menos corros 3.grau
T300;;;;Queimadura, parte do corpo não especificada, grau não especificado;T30.0 Queim parte do corpo NE grau NE
T301;;;;Queimadura de primeiro grau, parte do corpo não especificada;T30.1 Queim de 1.grau parte do corpo NE
T302;;;;Queimadura de segundo grau, parte do corpo não especificada;T30.2 Queim de 2.grau parte do corpo NE
T303;;;;Queimadura de terceiro grau, parte do corpo não especificada;T30.3 Queim de 3.grau parte do corpo NE
T304;;;;Corrosão, parte do corpo não especificada, grau não especificado;T30.4 Corrosao parte do corpo NE grau NE
T305;;;;Corrosão de primeiro grau, parte do corpo não especificada;T30.5 Corrosao de 1.grau parte do corpo NE
T306;;;;Corrosão de segundo grau, parte do corpo não especificada;T30.6 Corrosao de 2.grau parte do corpo NE
T307;;;;Corrosão de terceiro grau, parte do corpo não especificada;T30.7 Corrosao de 3.grau parte do corpo NE
T310;;;;Queimaduras envolvendo menos de 10% da superfície corporal;T31.0 Queim envolv menos de 10% da superf corporal
T311;;;;Queimaduras envolvendo de 10 - 19% da superfície corporal;T31.1 Queim envolv de 10-19% da superf corporal
T312;;;;Queimaduras envolvendo de 20 - 29% da superfície corporal;T31.2 Queim envolv de 20-29% da superf corporal
T313;;;;Queimaduras envolvendo de 30 - 39% da superfície corporal;T31.3 Queim envolv de 30-39% da superf corporal
T314;;;;Queimaduras envolvendo de 40 - 49% da superfície corporal;T31.4 Queim envolv de 40-49% da superf corporal
T315;;;;Queimaduras envolvendo de 50 - 59% da superfície corporal;T31.5 Queim envolv de 50-59% da superf corporal
T316;;;;Queimaduras envolvendo de 60 - 69% da superfície corporal;T31.6 Queim envolv de 60-69% da superf corporal
T317;;;;Queimaduras envolvendo de 70 - 79% da superfície corporal;T31.7 Queim envolv de 70-79% da superf corporal
T318;;;;Queimaduras envolvendo de 80 - 89% da superfície corporal;T31.8 Queim envolv de 80-89% da superf corporal
T319;;;;Queimaduras envolvendo 90% ou mais da superfície corporal;T31.9 Queim envolv 90% ou mais da superf corporal
T320;;;;Corrosões envolvendo menos de 10% da superfície corporal;T32.0 Corrosoes envolv menos de 10% superf corp
T321;;;;Corrosões envolvendo 10 - 19% da superfície corporal;T32.1 Corrosoes envolv 10-19% da superf corporal
T322;;;;Corrosões envolvendo 20 - 29% da superfície corporal;T32.2 Corrosoes envolv 20-29% da superf corporal
T323;;;;Corrosões envolvendo 30 - 39% da superfície corporal;T32.3 Corrosoes envolv 30-39% da superf corporal
T324;;;;Corrosões envolvendo 40 - 49% da superfície corporal;T32.4 Corrosoes envolv 40-49% da superf corporal
T325;;;;Corrosões envolvendo 50 - 59% da superfície corporal;T32.5 Corrosoes envolv 50-59% da superf corporal
T326;;;;Corrosões envolvendo 60 - 69% da superfície corporal;T32.6 Corrosoes envolv 60-69% da superf corporal
T327;;;;Corrosões envolvendo 70 - 79% da superfície corporal;T32.7 Corrosoes envolv 70-79% da superf corporal
T328;;;;Corrosões envolvendo 80 - 89% da superfície corporal;T32.8 Corrosoes envolv 80-89% da superf corporal
T329;;;;Corrosões envolvendo 90% ou mais da superfície corporal;T32.9 Corrosoes envolv 90% ou mais superf corporal
T330;;;;Geladura superficial da cabeça;T33.0 Geladura superf da cabeca
T331;;;;Geladura superficial do pescoço;T33.1 Geladura superf do pescoco
T332;;;;Geladura superficial do tórax;T33.2 Geladura superf do torax
T333;;;;Geladura superficial da parede abdominal, parte inferior do dorso e da pelve;T33.3 Geladura superf pared abd part inf dors pelv
T334;;;;Geladura superficial do braço;T33.4 Geladura superf do braco
T335;;;;Geladura superficial do punho e da mão;T33.5 Geladura superf do punho e da mao
T336;;;;Geladura superficial do quadril e da coxa;T33.6 Geladura superf do quadril e da coxa
T337;;;;Geladura superficial do joelho e da perna;T33.7 Geladura superf do joelho e da perna
T338;;;;Geladura superficial do tornozelo e do pé;T33.8 Geladura superf do tornozelo e do pe
T339;;;;Geladura superficial de outros locais e de locais não especificados;T33.9 Geladura superf de outr locais e locais NE
T340;;;;Geladura, com necrose de tecidos, da cabeça;T34.0 Geladura c/necrose de tec da cabeca
T341;;;;Geladura, com necrose de tecidos, do pescoço;T34.1 Geladura c/necrose de tec do pescoco
T342;;;;Geladura, com necrose de tecidos, do tórax;T34.2 Geladura c/necrose de tec do torax
T343;;;;Geladura, com necrose de tecidos, da parede abdominal, parte inferior do dorso e da pelve;T34.3 Gelad necr tec pared abd part inf dors pelv
T344;;;;Geladura, com necrose de tecidos, do braço;T34.4 Geladura c/necrose de tec do braco
T345;;;;Geladura, com necrose de tecidos, do punho e da mão;T34.5 Geladura c/necrose de tec do punho e da mao
T346;;;;Geladura, com necrose de tecidos, do quadril e da coxa;T34.6 Geladura c/necrose de tec do quadril e coxa
T347;;;;Geladura, com necrose de tecidos, do joelho e da perna;T34.7 Geladura c/necrose de tec do joelho e perna
T348;;;;Geladura, com necrose de tecidos, do tornozelo e do pé;T34.8 Geladura c/necrose de tec do tornozelo e pe
T349;;;;Geladura, com necrose de tecidos, de localização não especificada;T34.9 Geladura c/necrose de tec de localiz NE
T350;;;;Geladura superficial envolvendo múltiplas partes do corpo;T35.0 Geladura superf envolv mult partes do corpo
T351;;;;Geladura, com necrose de tecidos, de múltiplas partes do corpo;T35.1 Geladura c/necrose de tec mult partes corpo
T352;;;;Geladura, de grau não especificado, da cabeça e do pescoço;T35.2 Geladura de grau NE da cabeca e do pescoco
T353;;;;Geladura, de grau não especificado, do tórax, abdome, parte inferior do dorso e da pelve;T35.3 Gelad grau NE torax abd part inf dorso pelve
T354;;;;Geladura, de grau não especificado, do membro superior;T35.4 Geladura de grau NE do membro super
T355;;;;Geladura, de grau não especificado, do membro inferior;T35.5 Geladura de grau NE do membro infer
T356;;;;Geladura, de grau não especificado, de múltiplas partes do corpo;T35.6 Geladura de grau NE de mult partes do corpo
T357;;;;Geladura, de grau não especificado, de localização não especificada;T35.7 Geladura de grau NE de localiz NE
T360;;;;Intoxicação por penicilinas;T36.0 Penicilinas
T361;;;;Intoxicação por cefalosporinas e outras betalactaminas;T36.1 Cefalosporinas e outr betalactaminas
T362;;;;Intoxicação pelo grupo do cloranfenicol;T36.2 Grupo do cloranfenicol
T363;;;;Intoxicação por macrolídios;T36.3 Macrolidios
T364;;;;Intoxicação por tetraciclinas;T36.4 Tetraciclinas
T365;;;;Intoxicação por aminoglicosídeos;T36.5 Aminoglicosideos
T366;;;;Intoxicação por rifamicinas;T36.6 Rifamicinas
T367;;;;Intoxicação por antibióticos antifúngicos administrados por via sistêmica;T36.7 Antibioticos antifungicos admin p/via sistem
T368;;;;Intoxicação por outros antibióticos sistêmicos;T36.8 Outr antibioticos sistemicos
T369;;;;Intoxicação por antibióticos sistêmicos não especificados;T36.9 Antibioticos sistemicos NE
T370;;;;Intoxicação por sulfonamidas;T37.0 Sulfonamidas
T371;;;;Intoxicação por drogas antimicobacterianas;T37.1 Drogas antimicobacterianas
T372;;;;Intoxicação por antimaláricos e drogas que atuam sobre outros protozoários do sangue;T37.2 Antimalaricos drog q atuam s/protoz sangue
T373;;;;Intoxicação por outros medicamentos antiprotozoários;T37.3 Outr medicamentos antiprotozoarios
T374;;;;Intoxicação por anti-helmínticos;T37.4 Anti-helminticos
T375;;;;Intoxicação por drogas antivirais;T37.5 Drogas antivirais
T378;;;;Intoxicação por outros agentes antiinfecciosos e antiparasitários especificados;T37.8 Outr agentes antiinfecc e antiparasit espec
T379;;;;Intoxicação por agentes antiinfecciosos e antiparasitários sistêmicos não especificados;T37.9 Agentes antiinfecc e antiparasit sistem NE
T380;;;;Intoxicação por glicocorticóides e análogos sintéticos;T38.0 Glicocorticoides e analogos sinteticos
T381;;;;Intoxicação por hormônios tireoidianos e seus derivados;T38.1 Hormonios tireoidianos e seus derivados
T382;;;;Intoxicação por medicamentos antitireoidianos;T38.2 Medicamentos antitireoidianos
T383;;;;Intoxicação por insulina e drogas hipoglicemiantes orais [antidiabéticos];T38.3 Insulina e drogas hipoglicemiantes orais
T384;;;;Intoxicação por anticoncepcionais orais;T38.4 Anticoncepcionais orais
T385;;;;Intoxicação por outros estrógenos e progestágenos;T38.5 Outr estrogenos e progestagenos
T386;;;;Intoxicação por antigonadotrofinas, antiestrógenos, antiandrógenos não classificados em outra parte;T38.6 Antigonadotrofin antiestrog antiandrog NCOP
T387;;;;Intoxicação por andrógenos e anabolizantes congêneres;T38.7 Androgenos e anabolizantes congeneres
T388;;;;Intoxicação por outros hormônios e substitutos sintéticos, e os não especificados;T38.8 Outr hormonios e substitutos sinteticos e NE
T389;;;;Intoxicação por outros antagonistas hormonais, e os não especificados;T38.9 Outr antagonistas hormonais e os NE
T390;;;;Intoxicação por salicilatos;T39.0 Salicilatos
T391;;;;Intoxicação por derivados do 4-aminofenol;T39.1 Derivados do 4-aminofenol
T392;;;;Intoxicação por derivados pirazolônicos;T39.2 Derivados pirazolonicos
T393;;;;Intoxicação por outros antiinflamatórios não esteróides;T39.3 Outr antiinflamatorios nao esteroides
T394;;;;Intoxicação por anti-reumáticos não classificados em outra parte;T39.4 Anti-reumaticos NCOP
T398;;;;Intoxicação por outros analgésicos não opiáceos e antipiréticos não classificados em outra parte;T39.8 Outr analgesicos nao opiac e antipiret NCOP
T399;;;;Intoxicação por analgésico não-opiáceo, antipirético e anti-reumático, não especificados;T39.9 Analges n-opiaceo antipiret e anti-reumat NE
T400;;;;Intoxicação por ópio;T40.0 Opio
T401;;;;Intoxicação por heroína;T40.1 Heroina
T402;;;;Intoxicação por outros opiáceos;T40.2 Outr opiaceos
T403;;;;Intoxicação por metadona;T40.3 Metadona
T404;;;;Intoxicação por outros narcóticos sintéticos;T40.4 Outr narcoticos sinteticos
T405;;;;Intoxicação por cocaína;T40.5 Cocaina
T406;;;;Intoxicação por outros narcóticos e os não especificados;T40.6 Outr narcoticos e os NE
T407;;;;Intoxicação por cannabis (derivados);T40.7 Cannabis
T408;;;;Intoxicação por lisergida [LSD];T40.8 Lisergida
T409;;;;Intoxicação por outros psicodislépticos e os não especificados [alucinógenos];T40.9 Outr psicodislepticos e os NE
T410;;;;Intoxicação por anestésicos inalatórios;T41.0 Anestesicos inalatorios
T411;;;;Intoxicação por anestésicos intravenosos;T41.1 Anestesicos intravenosos
T412;;;;Intoxicação por outros anestésicos gerais e os não especificados;T41.2 Outr anestesicos gerais e os NE
T413;;;;Intoxicação por anestésicos locais;T41.3 Anestesicos locais
T414;;;;Intoxicação por anestésico não especificado;T41.4 Anestesico NE
T415;;;;Intoxicação por gases terapêuticos;T41.5 Gases terapeuticos
T420;;;;Intoxicação por derivados da hidantoína;T42.0 Derivados da hidantoina
T421;;;;Intoxicação por iminostilbenos;T42.1 Iminostilbenos
T422;;;;Intoxicação por succinimidas e oxazolidinadionas;T42.2 Succinimidas e oxazolidinadionas
T423;;;;Intoxicação por barbitúricos;T42.3 Barbituricos
T424;;;;Intoxicação por benzodiazepinas;T42.4 Benzodiazepinas
T425;;;;Intoxicação por antiepiléticos em associação, não classificados em outra parte;T42.5 Antiepileticos em associacao NCOP
T426;;;;Intoxicação por outras drogas antiepilépticas e sedativos-hipnóticos;T42.6 Outr drogas antiepilepticas sedativos-hipnot
T427;;;;Intoxicação por drogas antiepilépticos, sedativos-hipnóticos, não especificados;T42.7 Drogas antiepilepticos sedativos-hipnot NE
